Symbol,Date,Open,High,Low,Close,Volume,LCTX SMA_x,LCTX spanTwelveEMA_x,LCTX spanTwntySixEMA_x,LCTX_x,LCTX_y,LCTX SMA_y,LCTX spanTwelveEMA_y,LCTX spanTwntySixEMA_y,LCTX_x,LCTX_y
LCTX,2021-05-19,2.24,2.25,2.23,2.25,10025,2.25,2.416030867369628,2.513160668365581,-0.0971298009959538,-0.0559012010311347,2.25,2.439420913590208,2.5316668762864505,-0.0922459626962428,-0.05590120103113477
LCTX,2021-05-18,2.35,2.36,2.35,2.35,7511,2.35,2.4462182978004687,2.534213521834828,-0.0879952240343588,-0.0455940510399301,2.35,2.473861079697518,2.5542002263893666,-0.0803391466918488,-0.04559405103993012
LCTX,2021-05-17,2.22,2.2301,2.22,2.2301,11588,2.2301,2.4637125337641903,2.548950603581614,-0.0852380698174237,-0.0349937577913228,2.2301,2.496381276006157,2.570536244500516,-0.0741549684943585,-0.03499375779132281
LCTX,2021-05-14,2.3,2.31,2.26,2.27,33100,2.27,2.506187539903134,2.574458651868144,-0.0682711119650094,-0.0224326797847975,2.27,2.544796053461823,2.597771144060557,-0.0529750905987342,-0.022432679784797578
LCTX,2021-05-13,2.3,2.35,2.3,2.35,12521,2.35,2.549130728976431,2.598815344017595,-0.0496846150411638,-0.0109730717397445,2.35,2.5947589722730635,2.623992835585402,-0.0292338633123385,-0.0109730717397445
LCTX,2021-05-12,2.36,2.36,2.33,2.33,8237,2.33,2.585336316063055,2.6187205715390025,-0.0333842554759473,-0.0012951859143896,2.33,2.6392606035954387,2.645912262432234,-0.0066516588367955,-0.0012951859143896629
LCTX,2021-05-11,2.34,2.36,2.26,2.2622,78206,2.2622,2.6317611008017923,2.6418182172621227,-0.0100571164603304,0.0067270814759997,2.2622,2.695489804249154,2.671185243426813,0.0243045608223417,0.006727081475999763
LCTX,2021-05-10,2.72,2.74,2.71,2.74,16603,2.74,2.6989540282203,2.6721876746430926,0.0267663535772073,0.0109231309600823,2.74,2.774269768658092,2.703904062900958,0.0703657057571338,0.010923130960082322
LCTX,2021-05-07,2.85,2.85,2.807,2.83,11772,2.83,2.6914911242603545,2.66676268861454,0.0247284356458146,0.006962325305801,2.83,2.780500635686836,2.7010163879330342,0.0794842477538013,0.006962325305801063
LCTX,2021-05-06,2.8,2.8,2.7923,2.8,12431,2.8,2.666307692307692,2.6537037037037035,0.0126039886039883,0.0025207977207976,2.8,2.7715007512662604,2.690697698967677,0.0808030522985832,0.002520797720797674
LCTX,2021-05-05,2.67,2.67,2.62,2.642,11256,2.642,2.642,2.642,0.0,0.0,2.642,2.7663190696783078,2.6819535148850915,0.0843655547932158,0.0
LCTX,2021-06-15,2.98,2.98,2.95,2.9689,14165,,,,,,2.9689,2.788922536892545,2.685149796075899,0.103772740816646,
LCTX,2021-06-14,2.89,2.9,2.88,2.9,44204,,,,,,2.9,2.756199361782099,2.6624497797619706,0.0937495820201284,
LCTX,2021-06-11,2.84,2.84,2.82,2.82,5309,,,,,,2.82,2.730053791197026,2.643445762142928,0.0866080290540978,
LCTX,2021-06-10,2.81,2.81,2.81,2.81,29087,,,,,,2.81,2.7136999350510305,2.6293214231143627,0.0843785119366677,
LCTX,2021-06-09,2.76,2.799,2.76,2.78,24463,,,,,,2.78,2.696190832333036,2.614867136963512,0.081323695369524,
LCTX,2021-06-08,2.87,2.899,2.86,2.86,9423,,,,,,2.86,2.6809528018481337,2.601656507920593,0.0792962939275407,
LCTX,2021-06-07,2.82,2.8288,2.81,2.8288,27145,,,,,,2.8288,2.648398765820521,2.58098902855424,0.0674097372662814,
LCTX,2021-06-04,2.85,2.85,2.844,2.844,22487,,,,,,2.844,2.615598541424253,2.561164150838579,0.0544343905856736,
LCTX,2021-06-03,2.73,2.735,2.7201,2.723,22083,,,,,,2.723,2.5740710035013894,2.538537282905666,0.0355337205957235,
LCTX,2021-06-02,3.0,3.0,2.981,2.985,76679,,,,,,2.985,2.546993004138006,2.5237802655381194,0.0232127385998865,
LCTX,2021-06-01,2.64,2.659,2.64,2.6423,72157,,,,,,2.6423,2.4673553685267344,2.486882686781169,-0.0195273182544344,
LCTX,2021-06-01,2.64,2.659,2.64,2.6423,72157,,,,,,2.6423,2.435547253713413,2.4744493017236624,-0.0389020480102488,
LCTX,2021-05-28,2.42,2.42,2.4139,2.4139,6067,,,,,,2.4139,2.3979558452976706,2.4610212458615552,-0.0630654005638846,
LCTX,2021-05-27,2.36,2.4,2.36,2.4,11397,,,,,,2.4,2.395056908079065,2.46479094553048,-0.0697340374514148,
LCTX,2021-05-26,2.32,2.32,2.32,2.32,5623,,,,,,2.32,2.3941581640934406,2.4699742211729188,-0.0758160570794781,
LCTX,2021-05-25,2.43,2.43,2.43,2.43,3926,,,,,,2.43,2.4076414666558845,2.481972158866752,-0.0743306922108675,
LCTX,2021-05-24,2.42,2.42,2.42,2.42,6057,,,,,,2.42,2.403576278775136,2.486129931576092,-0.0825536528009558,
LCTX,2021-05-21,2.38,2.38,2.38,2.38,1526,,,,,,2.38,2.4005901476433427,2.491420326102179,-0.0908301784588361,
LCTX,2021-05-20,2.34,2.34,2.34,2.34,1927,,,,,,2.34,2.404333810851223,2.500333952190353,-0.0960001413391302,
LCTX,2021-05-19,2.24,2.25,2.23,2.25,10025,,,,,,2.25,2.416030867369628,2.513160668365581,-0.0971298009959538,
LCTX,2021-05-18,2.35,2.36,2.35,2.35,7511,,,,,,2.35,2.4462182978004687,2.534213521834828,-0.0879952240343588,
LCTX,2021-05-17,2.22,2.2301,2.22,2.2301,11588,,,,,,2.2301,2.4637125337641903,2.548950603581614,-0.0852380698174237,
LCTX,2021-05-14,2.3,2.31,2.26,2.27,33100,,,,,,2.27,2.506187539903134,2.574458651868144,-0.0682711119650094,
LCTX,2021-05-13,2.3,2.35,2.3,2.35,12521,,,,,,2.35,2.549130728976431,2.598815344017595,-0.0496846150411638,
LCTX,2021-05-12,2.36,2.36,2.33,2.33,8237,,,,,,2.33,2.585336316063055,2.6187205715390025,-0.0333842554759473,
LCTX,2021-05-11,2.34,2.36,2.26,2.2622,78206,,,,,,2.2622,2.6317611008017923,2.6418182172621227,-0.0100571164603304,
LCTX,2021-05-10,2.72,2.74,2.71,2.74,16603,,,,,,2.74,2.6989540282203,2.6721876746430926,0.0267663535772073,
LCTX,2021-05-07,2.85,2.85,2.807,2.83,11772,,,,,,2.83,2.6914911242603545,2.66676268861454,0.0247284356458146,
LCTX,2021-05-06,2.8,2.8,2.7923,2.8,12431,,,,,,2.8,2.666307692307692,2.6537037037037035,0.0126039886039883,
LCTX,2021-05-05,2.67,2.67,2.62,2.642,11256,,,,,,2.642,2.642,2.642,0.0,
