Symbol,Date,Open,High,Low,Close,Volume,ATOS SMA_x,ATOS spanTwelveEMA_x,ATOS spanTwntySixEMA_x,ATOS_x,ATOS_y,ATOS SMA_y,ATOS spanTwelveEMA_y,ATOS spanTwntySixEMA_y,ATOS_x,ATOS_y
ATOS,2021-05-24,3.24,3.26,3.23,3.238,77891,3.238,2.912110181145428,2.6607876156765182,0.2513225654689095,0.167081149882966,3.238,3.1217003674168966,3.2127266960273584,-0.0910263286104617,0.16708114988296602
ATOS,2021-05-21,3.26,3.3,3.26,3.29,55069,3.29,2.852857486808233,2.61461062493064,0.2382468618775934,0.14602079598648,3.29,3.1005549796745138,3.210704831709547,-0.110149852035033,0.14602079598648005
ATOS,2021-05-20,3.27,3.27,3.24,3.25,29518,3.25,2.773377029864276,2.5605794749250905,0.2127975549391854,0.1229642795137018,3.25,3.066110430524425,3.2043612182463104,-0.1382507877218852,0.1229642795137018
ATOS,2021-05-19,3.09,3.1,3.0,3.0113,422689,3.0113,2.686718308021417,2.505425832919097,0.1812924751023197,0.1005059606573308,3.0113,3.032675963347048,3.200710115706015,-0.1680341523589672,0.10050596065733089
ATOS,2021-05-18,3.27,3.3,3.1804,3.2021,328889,3.2021,2.6277034549344025,2.464955899552625,0.162747555381777,0.0803093320460835,3.2021,3.03656250213742,3.2158629249624964,-0.1793004228250763,0.08030933204608356
ATOS,2021-05-17,3.17,3.18,3.06,3.075,532580,3.075,2.52326771946793,2.405984371516836,0.1172833479510941,0.05969977621216,3.075,3.0064647752533142,3.216963958959496,-0.2104991837061818,0.059699776212160084
ATOS,2021-05-14,2.41,2.48,2.41,2.4344,87656,2.4344,2.422952759371189,2.3524631212381824,0.0704896381330071,0.0453038832774266,2.4344,2.9940038252993717,3.228321075676256,-0.2343172503768844,0.04530388327742667
ATOS,2021-05-13,2.56,2.56,2.48,2.5099,125984,2.5099,2.420871442893224,2.345908170937237,0.0749632719559869,0.0390074445635316,2.5099,3.0957499753538027,3.2918347617303563,-0.1960847863765535,0.03900744456353167
ATOS,2021-05-12,2.59,2.61,2.57,2.61,77573,2.61,2.404684432510174,2.332788824612216,0.0718956078979577,0.0300184877154178,2.61,3.202268152690858,3.354389542668785,-0.152121389977927,0.03001848771541784
ATOS,2021-05-11,2.65,2.65,2.535,2.565,258066,2.565,2.367354329330205,2.310611930581193,0.0567423987490123,0.0195492076697828,2.565,3.309953271361923,3.4139407060822875,-0.1039874347203646,0.019549207669782846
ATOS,2021-05-10,2.7019,2.71,2.65,2.655,174352,2.655,2.331418752844788,2.290260885027689,0.0411578678170991,0.0102509098999755,2.655,3.445399320700454,3.4818559625688703,-0.0364566418684164,0.01025090989997559
ATOS,2021-05-07,2.35,2.39,2.3166,2.3809,88780,2.3809,2.272585798816568,2.261081755829904,0.0115040429866639,0.0025241704206946,2.3809,3.5891082881005363,3.54800443957438,0.0411038485261565,0.0025241704206946914
ATOS,2021-05-06,2.38,2.385,2.25,2.2677,396300,2.2677,2.252892307692308,2.2514962962962963,0.0013960113960114,0.0002792022792023,2.2677,3.8087825223006337,3.64137279474033,0.1674097275603037,0.00027920227920237296
ATOS,2021-05-05,2.26,2.26,2.25,2.2502,50733,2.2502,2.2502,2.2502,0.0,0.0,2.2502,4.088979344537113,3.751266618319556,0.3377127262175565,0.0
ATOS,2021-06-15,4.63,4.66,4.57,4.6518,424800,,,,,,4.6518,4.423302861725679,3.871351947785121,0.5519509139405581,
ATOS,2021-06-14,4.41,4.43,4.36,4.37,588454,,,,,,4.37,4.381757927493984,3.80891610360793,0.572841823886054,
ATOS,2021-06-11,4.48,4.49,4.2,4.2601,657517,,,,,,4.2601,4.38389573249289,3.764029391896565,0.6198663405963258,
ATOS,2021-06-10,4.15,4.3,4.14,4.2901,513394,,,,,,4.2901,4.4064040474915975,3.724343743248289,0.6820603042433082,
ATOS,2021-06-09,5.57,5.8,5.57,5.7869,608973,,,,,,5.7869,4.427550237944615,3.679083242708153,0.7484669952364627,
ATOS,2021-06-08,6.3,6.48,6.22,6.4799,549246,,,,,,6.4799,4.180395735752727,3.510457902124805,0.6699378336279223,
ATOS,2021-06-07,4.9,4.97,4.9,4.97,261346,,,,,,4.97,3.762304051344132,3.272902534294789,0.4894015170493428,
ATOS,2021-06-04,4.5453,4.59,4.5453,4.5797,181734,,,,,,4.5797,3.542722969770338,3.137134737038372,0.405588232731966,
ATOS,2021-06-03,3.94,3.96,3.92,3.9501,139295,,,,,,3.9501,3.3541816915467635,3.021729516001442,0.3324521755453213,
ATOS,2021-06-02,3.99,4.0,3.97,3.991,225175,,,,,,3.991,3.245832908191629,2.947459877281558,0.2983730309100716,
ATOS,2021-06-01,3.32,3.34,3.32,3.34,140205,,,,,,3.34,3.11034798240829,2.8639766674640823,0.2463713149442075,
ATOS,2021-06-01,3.32,3.34,3.32,3.34,140205,,,,,,3.34,3.0685930701188884,2.825894800861209,0.2426982692576795,
ATOS,2021-05-28,3.16,3.2,3.16,3.195,54406,,,,,,3.195,3.0192463555950497,2.7847663849301054,0.2344799706649443,
ATOS,2021-05-27,3.14,3.16,3.13,3.16,31109,,,,,,3.16,2.9872911475214226,2.751947695724513,0.235343451796909,
ATOS,2021-05-26,3.0,3.01,2.96,2.97,236770,,,,,,2.97,2.955889537979863,2.7193035113824746,0.2365860265973882,
ATOS,2021-05-25,3.17,3.19,3.16,3.18,78568,,,,,,3.18,2.9533239994307467,2.699247792293072,0.2540762071376745,
ATOS,2021-05-24,3.24,3.26,3.23,3.238,77891,,,,,,3.238,2.912110181145428,2.6607876156765182,0.2513225654689095,
ATOS,2021-05-21,3.26,3.3,3.26,3.29,55069,,,,,,3.29,2.852857486808233,2.61461062493064,0.2382468618775934,
ATOS,2021-05-20,3.27,3.27,3.24,3.25,29518,,,,,,3.25,2.773377029864276,2.5605794749250905,0.2127975549391854,
ATOS,2021-05-19,3.09,3.1,3.0,3.0113,422689,,,,,,3.0113,2.686718308021417,2.505425832919097,0.1812924751023197,
ATOS,2021-05-18,3.27,3.3,3.1804,3.2021,328889,,,,,,3.2021,2.6277034549344025,2.464955899552625,0.162747555381777,
ATOS,2021-05-17,3.17,3.18,3.06,3.075,532580,,,,,,3.075,2.52326771946793,2.405984371516836,0.1172833479510941,
ATOS,2021-05-14,2.41,2.48,2.41,2.4344,87656,,,,,,2.4344,2.422952759371189,2.3524631212381824,0.0704896381330071,
ATOS,2021-05-13,2.56,2.56,2.48,2.5099,125984,,,,,,2.5099,2.420871442893224,2.345908170937237,0.0749632719559869,
ATOS,2021-05-12,2.59,2.61,2.57,2.61,77573,,,,,,2.61,2.404684432510174,2.332788824612216,0.0718956078979577,
ATOS,2021-05-11,2.65,2.65,2.535,2.565,258066,,,,,,2.565,2.367354329330205,2.310611930581193,0.0567423987490123,
ATOS,2021-05-10,2.7019,2.71,2.65,2.655,174352,,,,,,2.655,2.331418752844788,2.290260885027689,0.0411578678170991,
ATOS,2021-05-07,2.35,2.39,2.3166,2.3809,88780,,,,,,2.3809,2.272585798816568,2.261081755829904,0.0115040429866639,
ATOS,2021-05-06,2.38,2.385,2.25,2.2677,396300,,,,,,2.2677,2.252892307692308,2.2514962962962963,0.0013960113960114,
ATOS,2021-05-05,2.26,2.26,2.25,2.2502,50733,,,,,,2.2502,2.2502,2.2502,0.0,
