Symbol,Date,Open,High,Low,Close,Volume,RAZFF SMA,RAZFF spanTwelveEMA,RAZFF spanTwntySixEMA,RAZFF_x,RAZFF_y
RAZFF,2020-07-28,0.2,0.21,0.2,0.204,14036,0.20400000000000004,0.21303961769025592,0.2116985995066196,0.0013410181836363275,0.002901808677347744
RAZFF,2020-07-27,0.21,0.21,0.1948,0.1948,13120,0.19480000000000008,0.21023352266098574,0.21044685139501812,-0.00021332873403237532,0.00227878119507172
RAZFF,2020-07-24,0.184,0.184,0.184,0.184,1800,0.184,0.2061975960977572,0.20848782536575755,-0.002290229268000349,0.0013649791024573064
RAZFF,2020-07-23,0.2175,0.2175,0.204,0.215,15250,0.215,0.20755181208271764,0.20897020867199773,-0.0014183965892800856,0.000808303964109828
RAZFF,2020-07-22,0.2347,0.2347,0.21,0.217,19215,0.21700000000000005,0.20900537945460726,0.20956500802962752,-0.0005596285750202878,0.0005347174562838105
RAZFF,2020-07-21,0.225,0.225,0.20199999999999999,0.22,500,0.22000000000000008,0.2106968595385138,0.21033797039780328,0.0003588891407105277,0.000499551793169154
RAZFF,2020-07-20,0.20095,0.2099,0.20095,0.2099,10000,0.2099000000000001,0.21057426576335786,0.2103055281461141,0.0002687376172436917,0.0004533889579840727
RAZFF,2020-07-17,0.184,0.215,0.184,0.2025,25675,0.2025000000000001,0.20933207103053356,0.2097273408760316,-0.00039526984549809196,0.00028365719728765094
RAZFF,2020-07-16,0.207,0.207,0.2,0.2,126535,0.20000000000000007,0.20789636779506684,0.2090067971074367,-0.0011104293123698485,4.83989535615109e-06
RAZFF,2020-07-15,0.23399999999999999,0.23399999999999999,0.215,0.215,4510,0.215,0.20898923428813349,0.20945073806244136,-0.0004615037743078977,-8.84288385766531e-05
RAZFF,2020-07-14,0.21,0.22,0.21,0.22,6900,0.22000000000000008,0.21068319824380527,0.2102321648726309,0.0004510333711743586,1.946360337354923e-05
RAZFF,2020-07-13,0.20600000000000002,0.2175,0.20600000000000002,0.21,23250,0.21000000000000005,0.21057809082168136,0.21021496747465826,0.0003631233470231532,8.819555210345892e-05
