Symbol,Date,Open,High,Low,Close,Volume,LINC SMA_x,LINC spanTwelveEMA_x,LINC spanTwntySixEMA_x,LINC_x,LINC_y,LINC SMA_y,LINC spanTwelveEMA_y,LINC spanTwntySixEMA_y,LINC_x,LINC_y
LINC,2021-02-10,6.12,6.12,6.0201,6.07,2720,,,,,,6.07,6.10606239985051,6.116324464294623,-0.0102620644441131,
LINC,2021-02-09,6.08,6.18,6.08,6.14,3485,,,,,,6.14,6.112619199823329,6.120030421438192,-0.0074112216148627,
LINC,2021-02-08,6.3,6.35,6.25,6.25,7658,,,,,,6.25,6.10764087251848,6.118432855153247,-0.0107919826347675,
LINC,2021-02-05,6.21,6.27,6.19,6.27,9711,,,,,,6.27,6.081757394794567,6.107907483565507,-0.0261500887709402,
LINC,2021-02-04,6.07,6.14,6.01,6.05,9783,,,,,,6.05,6.047531466575396,6.094940082250748,-0.0474086156753514,
LINC,2021-02-03,6.04,6.14,6.04,6.14,3268,,,,,,6.14,6.0470826423163775,6.098535288830808,-0.0514526465144307,
LINC,2021-02-02,6.08,6.08,5.87,5.97,7795,,,,,,5.97,6.030188577282992,6.095218111937273,-0.0650295346542808,
LINC,2021-02-01,5.95,5.95,5.7201,5.9,10293,,,,,,5.9,6.041131954970809,6.105235560892255,-0.0641036059214457,
LINC,2021-01-29,5.98,5.98,5.67,5.72,11436,,,,,,5.72,6.066792310420047,6.121654405763636,-0.0548620953435889,
LINC,2021-01-28,6.0,6.02,5.95,5.95,3080,,,,,,5.95,6.129845457769147,6.153786758224726,-0.0239413004555792,
LINC,2021-01-27,6.21,6.21,5.9,5.96,29813,,,,,,5.96,6.162544631908991,6.170089698882704,-0.0075450669737122,
LINC,2021-01-26,6.36,6.4743,6.33,6.385,9454,,,,,,6.385,6.199370928619716,6.18689687479332,0.0124740538263967,
LINC,2021-01-25,6.21,6.23,6.1393,6.2092,6576,,,,,,6.2092,6.165620188368755,6.171048624776786,-0.0054284364080308,
LINC,2021-01-22,6.22,6.22,6.12,6.1613,2769,,,,,,6.1613,6.157696586253983,6.167996514758929,-0.0102999285049465,
LINC,2021-01-21,6.12,6.1653,6.05,6.09,8890,,,,,,6.09,6.157041420118343,6.168532235939644,-0.0114908158213005,
LINC,2021-01-20,6.11,6.23,5.97,6.11,9056,,,,,,6.11,6.1692307692307695,6.174814814814815,-0.0055840455840456,
LINC,2021-01-19,6.26,6.26,6.1201,6.18,10471,,,,,,6.18,6.18,6.18,0.0,
