Symbol,Date,Open,High,Low,Close,Volume,SSFT SMA,SSFT spanTwelveEMA_x,SSFT spanTwntySixEMA_x,SSFT_x,SSFT_y,SSFT spanTwelveEMA_y,SSFT spanTwntySixEMA_y,SSFT
SSFT,2020-10-27,0.0626,0.0626,0.055,0.055,95564,0.054999999999999986,0.07229371211107717,0.07830251748364865,-0.00600880537257148,-0.00453029148904296,0.07229371211107717,0.07830251748364865,-0.00600880537257148
SSFT,2020-10-26,0.078,0.08,0.07,0.0705,80750,0.07050000000000001,0.0754380234040003,0.08016671888234053,-0.004728695478340234,-0.0041606630181608316,0.0754380234040003,0.08016671888234053,-0.0047286954783402335
SSFT,2020-10-23,0.077,0.078,0.07,0.07,59000,0.07000000000000002,0.07633584584109125,0.08094005639292777,-0.004604210551836518,-0.0040186549031159795,0.07633584584109125,0.08094005639292777,-0.004604210551836518
SSFT,2020-10-22,0.07,0.076,0.0675,0.076,41500,0.07600000000000001,0.07748781781219875,0.08181526090436199,-0.004327443092163236,-0.003872265990935844,0.07748781781219875,0.08181526090436199,-0.004327443092163236
SSFT,2020-10-21,0.077,0.077,0.07,0.07,13290,0.07000000000000002,0.07775833014168944,0.08228048177671095,-0.004522151635021511,-0.003758471715628996,0.07775833014168944,0.08228048177671095,-0.00452215163502151
SSFT,2020-10-20,0.078,0.078,0.07,0.078,11100,0.07800000000000001,0.07916893562199663,0.08326292031884783,-0.004093984696851211,-0.003567551735780867,0.07916893562199662,0.08326292031884783,-0.004093984696851211
SSFT,2020-10-19,0.075,0.075,0.07,0.0725,24629,0.07250000000000002,0.07938146937145055,0.08368395394435565,-0.0043024845729051076,-0.003435943495513284,0.07938146937145055,0.08368395394435565,-0.0043024845729051076
SSFT,2020-10-16,0.071,0.075,0.071,0.075,21100,0.07500000000000002,0.08063264562080519,0.0845786702599041,-0.003946024639098919,-0.0032193082261653275,0.08063264562080519,0.0845786702599041,-0.003946024639098919
SSFT,2020-10-15,0.08,0.08,0.07400000000000001,0.08,16499,0.08000000000000003,0.08165676300640612,0.08534496388069644,-0.0036882008742903094,-0.0030376291229319303,0.08165676300640613,0.08534496388069644,-0.0036882008742903094
SSFT,2020-10-14,0.075,0.08,0.075,0.0775,85784,0.07750000000000003,0.08195799264393452,0.08577256099115214,-0.003814568347217621,-0.002874986185092332,0.08195799264393452,0.08577256099115214,-0.00381456834721762
SSFT,2020-10-13,0.075,0.075,0.075,0.075,3500,0.07500000000000002,0.08276853676101352,0.08643436587044431,-0.0036658291094307928,-0.002640090644561009,0.08276853676101352,0.08643436587044431,-0.003665829109430793
SSFT,2020-10-12,0.075,0.08,0.075,0.08,29425,0.08000000000000003,0.0841809979902887,0.08734911514007987,-0.003168117149791164,-0.002383656028343564,0.0841809979902887,0.08734911514007987,-0.0031681171497911637
SSFT,2020-10-09,0.083,0.083,0.075,0.083,27200,0.08300000000000002,0.08494117944306846,0.08793704435128626,-0.002995864908217793,-0.002187540747981664,0.08494117944306846,0.08793704435128626,-0.0029958649082177935
SSFT,2020-10-08,0.083,0.083,0.083,0.083,130,0.08300000000000002,0.08529412115999001,0.08833200789938915,-0.003037886739399143,-0.001985459707922631,0.08529412115999001,0.08833200789938915,-0.0030378867393991427
SSFT,2020-10-07,0.077,0.081,0.077,0.081,19000,0.08100000000000003,0.08571123409817001,0.08875856853134027,-0.0030473344331702623,-0.001722352950053503,0.08571123409817001,0.08875856853134027,-0.0030473344331702623
SSFT,2020-10-06,0.08,0.081,0.008,0.081,51381,0.08100000000000003,0.0865678221160191,0.08937925401384747,-0.0028114318978283838,-0.0013911075792743131,0.0865678221160191,0.08937925401384748,-0.002811431897828384
SSFT,2020-10-05,0.08,0.085,0.08,0.081,69419,0.08100000000000003,0.08758015340984075,0.09004959433495527,-0.00246944092511453,-0.0010360264996357989,0.08758015340984075,0.09004959433495528,-0.00246944092511453
SSFT,2020-10-02,0.078,0.087,0.078,0.08,58700,0.08000000000000003,0.0887765449389027,0.0907735618817517,-0.0019970169428489976,-0.0006776728932661193,0.0887765449389027,0.0907735618817517,-0.0019970169428489976
SSFT,2020-10-01,0.09,0.09,0.081,0.081,50716,0.08100000000000003,0.09037228038233956,0.09163544683229184,-0.001263166449952266,-0.0003478368808703998,0.09037228038233956,0.09163544683229183,-0.001263166449952266
SSFT,2020-09-30,0.09,0.09,0.086,0.09,54150,0.09000000000000004,0.09207633136094674,0.09248628257887516,-0.00040995121792843087,-0.00011900448859992976,0.09207633136094674,0.09248628257887517,-0.0004099512179284309
SSFT,2020-09-29,0.09,0.0999,0.09,0.09,75300,0.09000000000000005,0.09245384615384616,0.0926851851851852,-0.00023133903133903955,-4.626780626780791e-05,0.09245384615384615,0.09268518518518519,-0.00023133903133903955
SSFT,2020-09-28,0.0999,0.0999,0.092,0.0929,67930,0.09290000000000008,0.0929,0.0929,0.0,0.0,0.0929,0.0929,0.0
